date,ticker,avg_sentiment,sentiment_std,news_count,positive_count,negative_count
2026-05-17,AMZN,-0.9409191012382507,0.0,1,0,1
2026-05-17,GOOGL,0.0,0.0,1,0,0
2026-05-17,TSLA,0.9128924608230591,0.0,1,1,0
2026-05-18,AMZN,-0.21712378093174525,0.3850830252930127,7,0,2
2026-05-18,GOOGL,0.7502962946891785,0.0,1,1,0
2026-05-18,TSLA,0.3324214418729146,1.0054055651611264,3,2,1
2026-05-19,AAPL,0.0,0.0,1,0,0
2026-05-19,AMZN,-0.3129650950431824,0.5420714456104144,3,0,1
2026-05-19,GOOGL,0.0,0.0,3,0,0
2026-05-19,TSLA,-0.2428966893090142,0.3666639523985251,9,0,3
2026-05-20,AAPL,-0.4686042368412018,0.6627064671263215,2,0,1
2026-05-20,AMZN,0.0,0.0,2,0,0
2026-05-20,GOOGL,-0.42377424240112305,0.5993072809880517,2,0,1
2026-05-20,TSLA,-0.12119831889867783,0.3428006126466592,8,0,1
2026-05-21,AAPL,-0.4302441477775574,0.6084571089186758,2,0,1
2026-05-21,AMZN,0.2895945608615875,0.4095485555599378,2,1,0
2026-05-21,GOOGL,0.0,0.0,2,0,0
2026-05-21,TSLA,0.11478043794631958,0.5039619954966751,10,3,1
2026-05-22,AAPL,0.1932482123374939,0.3347157222403982,3,1,0
2026-05-22,TSLA,-0.0305286447207133,0.8177537190752386,3,1,1
2026-05-23,TSLA,-0.20795287936925888,0.3898721775778636,8,0,2
2026-05-24,GOOGL,-0.36251378059387207,0.5126719050629984,2,0,1
2026-05-24,TSLA,0.0,0.0,3,0,0
2026-05-25,AAPL,0.0,0.0,1,0,0
2026-05-25,GOOGL,-0.4323379397392273,0.41715914972558255,5,0,3
2026-05-25,TSLA,0.0,0.0,2,0,0
2026-05-26,AAPL,-0.19191590547561646,0.4291370106069025,5,0,1
2026-05-26,AMZN,0.5172259211540222,0.0,1,1,0
2026-05-26,GOOGL,0.0,0.0,6,0,0
2026-05-26,MSFT,-0.14202597737312317,0.9539161551085839,2,1,1
2026-05-26,TSLA,-0.47371821105480194,0.7509780106177703,4,1,3
2026-05-27,AAPL,0.0,0.0,2,0,0
2026-05-27,AMZN,0.35639892305646625,0.45411231953570247,7,3,0
2026-05-27,GOOGL,0.042555078864097595,0.4039589100484634,8,1,1
2026-05-27,TSLA,0.3023308912913005,0.4688297008761074,6,2,0
2026-05-28,AAPL,-0.2733694314956665,0.47348974458671406,3,0,1
2026-05-28,AMZN,0.3687778313954671,0.5966960990951462,12,6,1
2026-05-28,GOOGL,0.008413573106129965,0.4755329777608918,6,1,1
2026-05-28,MSFT,-0.30289653937021893,0.5246321956260059,3,0,1
2026-05-28,TSLA,0.0,0.0,7,0,0
2026-05-29,AAPL,0.0,0.0,1,0,0
2026-05-29,AMZN,0.0,0.0,1,0,0
2026-05-29,GOOGL,0.0,0.0,3,0,0
2026-05-29,MSFT,0.0,0.0,2,0,0
2026-05-29,TSLA,-0.05176533758640289,0.6881568629531198,4,1,1
2026-05-30,AAPL,0.0,0.0,3,0,0
2026-05-30,AMZN,-0.6406154632568359,0.0,1,0,1
2026-05-30,GOOGL,-0.1242141604423523,0.27775130651716506,5,0,1
2026-05-30,MSFT,0.0,0.0,1,0,0
2026-05-30,TSLA,0.0,0.0,1,0,0
2026-05-31,AAPL,-0.3751806914806366,0.5305856222324322,2,0,1
2026-05-31,AMZN,0.0,0.0,2,0,0
2026-05-31,GOOGL,0.0,0.0,2,0,0
2026-05-31,MSFT,0.0,0.0,2,0,0
2026-05-31,TSLA,-0.22917798161506653,0.45835596323013306,4,0,1
2026-06-01,AAPL,-0.08795197010040283,0.543769994561083,5,1,1
2026-06-01,AMZN,0.0,0.0,2,0,0
2026-06-01,GOOGL,0.1358526885509491,0.41012413048110963,10,3,1
2026-06-01,MSFT,0.038560472428798676,0.6030079502858817,8,2,2
2026-06-01,TSLA,-0.7278669079144796,0.24063652752822573,3,0,3
2026-06-02,AAPL,0.8635618388652802,0.11126123160093808,2,2,0
2026-06-02,AMZN,-0.031216800212860107,0.7814969803326397,2,1,1
2026-06-02,GOOGL,-0.19067689776420593,0.40198412266568123,10,0,2
2026-06-02,MSFT,0.31535234053929645,0.5462062760998241,3,1,0
2026-06-02,TSLA,0.5651936531066895,0.5159626960973245,5,3,0
2026-06-03,AAPL,0.18102587759494781,0.2818202814024121,6,2,0
2026-06-03,AMZN,0.18944555521011353,0.3788911104202271,4,1,0
2026-06-03,GOOGL,0.022237718105316162,0.6442743099147599,9,3,2
2026-06-03,MSFT,-0.15386502742767333,0.4826713426254298,15,1,4
2026-06-03,TSLA,0.0,0.0,4,0,0
2026-06-04,AAPL,0.46961132685343426,0.41640967507129567,3,2,0
2026-06-04,AMZN,-0.5418948829174042,0.4014106773210914,4,0,3
2026-06-04,GOOGL,0.0984853638543023,0.2954560915629069,9,1,0
2026-06-04,MSFT,-0.09386158585548401,0.2968163960987734,10,0,1
2026-06-04,TSLA,-0.23703686892986298,0.47407373785972595,4,0,1
2026-06-05,AAPL,0.0,0.0,3,0,0
2026-06-05,AMZN,-0.15803824861844382,0.5983673485746102,6,1,2
2026-06-05,GOOGL,-0.15461366176605223,0.7063373279025866,5,1,2
2026-06-05,MSFT,-0.05462089410194984,0.4059924189604583,13,1,2
2026-06-05,TSLA,-0.2673739314079285,0.38870887914583463,5,0,2
2026-06-06,AAPL,0.26467933257420856,0.4584380517319494,3,1,0
2026-06-06,GOOGL,0.12897276878356934,0.28839187824642387,5,1,0
2026-06-06,MSFT,0.0,0.0,8,0,0
2026-06-06,TSLA,0.1799358010292053,0.6197230007027116,5,2,1
2026-06-07,AAPL,0.0,0.0,3,0,0
2026-06-07,AMZN,0.0,0.0,3,0,0
2026-06-07,GOOGL,0.6036576827367147,0.12338692220246816,3,3,0
2026-06-07,MSFT,0.2888866464296977,0.5003663492444226,3,1,0
2026-06-07,TSLA,0.18746284246444703,0.41917965900583776,5,1,0
2026-06-08,AAPL,-0.012696308333699296,0.31244707280839695,41,3,3
2026-06-08,AMZN,0.13475915789604187,0.3300911750124533,6,1,0
2026-06-08,GOOGL,0.09154365743909564,0.5747076352956467,7,2,1
2026-06-08,MSFT,-0.31035024844683134,0.4151020331311134,13,0,5
2026-06-08,TSLA,0.008682727813720703,0.925522475721844,3,1,1
2026-06-09,AAPL,0.08230114441651565,0.43416319775256645,39,9,4
2026-06-09,AMZN,0.0979872743288676,0.7225336607092847,6,3,2
2026-06-09,GOOGL,0.03950670063495636,0.4647938450302531,10,2,1
2026-06-09,MSFT,-0.2456315209468206,0.5245073783619962,12,1,4
2026-06-09,TSLA,0.12761559656688146,0.5613978983139324,7,2,1
2026-06-10,AAPL,0.08952229673212225,0.5764312255326411,11,3,2
2026-06-10,AMZN,0.23633305231730142,0.7096775131734243,6,3,1
2026-06-10,GOOGL,-0.11317341029644012,0.5693677627864614,8,1,2
2026-06-10,MSFT,-0.0659812867641449,0.4773708120519889,20,3,4
2026-06-10,TSLA,-0.2844873368740082,0.8105009881677327,4,1,2
2026-06-11,AAPL,-0.04674541524478367,0.3628730578218021,14,1,2
2026-06-11,AMZN,-0.17712326049804689,0.3960596508700361,5,0,1
2026-06-11,GOOGL,-0.015581088406699044,0.466989346448663,7,1,1
2026-06-11,MSFT,-0.09621208906173706,0.3042493398780616,10,0,1
2026-06-11,TSLA,-0.15371283888816833,0.8203670341886815,6,2,3
2026-06-12,AAPL,0.30960287650426227,0.4797215315692301,6,2,0
2026-06-12,AMZN,0.2984606424967448,0.46307491590137995,6,2,0
2026-06-12,GOOGL,-0.25162677963574726,0.40895323000939365,6,0,2
2026-06-12,MSFT,0.10462275835183951,0.4726621162170674,13,3,1
2026-06-12,TSLA,0.010173216462135315,0.5028391019087975,20,4,3
2026-06-13,AAPL,-0.325126310189565,0.5631352881257254,3,0,1
2026-06-13,AMZN,-0.4771352069718497,0.4351991937130889,14,0,8
2026-06-13,GOOGL,0.36686936020851135,0.5188316248260171,2,1,0
2026-06-13,MSFT,-0.047526379426320396,0.1646362077323662,12,0,1
2026-06-13,TSLA,0.09114772743648952,0.2734431823094686,9,1,0
2026-06-14,AMZN,-0.7575187534093857,0.16594353437047454,4,0,4
2026-06-14,MSFT,0.7882213592529297,0.0,1,1,0
